# Pin Out For ECP5UM-25,,,,,,,
# Revision 1.0,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
153,VCCARX0_D0CH0,-,-,-,-,-,-
154,VCCHRX0_D0CH0,-,-,-,-,-,U8
155,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,V8
156,VSSA0_D0CH0,-,-,-,-,-,-
157,VSSA1_D0CH1,-,-,-,-,-,-
158,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,V6
159,VCCARX1_D0CH1,-,-,-,-,-,-
160,VCCHRX1_D0CH1,-,-,-,-,-,U6
161,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,V5
162,VCCARX1_D0CH1,-,-,-,-,-,-
163,VSSA1_D0CH1,-,-,-,-,-,-
164,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-,V3
165,VCCHTX1_D0CH1,-,-,-,-,-,T5
166,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-,V2
167,VCCATX1_D0CH1,-,-,-,-,-,-
168,VSSA1_D0CH1,-,-,-,-,-,-
169,RESERVED,-,-,True_OF_ATSTN_D0,-,-,-
170,VCCA_D0,-,-,-,-,-,-
171,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-,-
172,VSSA_D0,-,-,-,-,-,-
173,VSSA_D0,-,-,-,-,-,-
174,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-,U1
175,VCCA25_D0,-,-,-,-,-,-
176,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-,T1
177,VCC,-,-,-,-,-,-
178,VSS,-,-,-,-,-,-
179,VCC,-,-,-,-,-,-
180,GND,-,-,-,-,-,-
181,NC,-,-,-,-,-,-
182,NC,-,-,-,-,-,-
183,PR47D,3,LRC_GPLL0C_IN,Comp_OF_PR47C,-,RDQ44,N1
184,PR47C,3,LRC_GPLL0T_IN,True_OF_PR47D,-,RDQ44,M1
185,VCCIO3,-,-,-,-,-,-
186,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ44,-
187,VSSIO3,-,-,-,-,-,-
188,PR47A,3,-,True_OF_PR47B,TRUE,RDQ44,-
189,PR44D,3,-,Comp_OF_PR44C,-,RDQ44,N2
190,VSS,-,-,-,-,-,-
191,PR44B,3,-,Comp_OF_PR44A,TRUE,RDQSN44,L1
192,PR44C,3,-,True_OF_PR44D,-,RDQ44,M2
193,VCC,-,-,-,-,-,-
194,PR44A,3,-,True_OF_PR44B,TRUE,RDQS44,K2
195,PR41D,3,-,Comp_OF_PR41C,-,RDQ44,K1
196,VSS,-,-,-,-,-,-
197,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQ44,L3
198,PR41C,3,-,True_OF_PR41D,-,RDQ44,K3
199,VCCAUX,-,-,-,-,-,-
200,PR41A,3,-,True_OF_PR41B,TRUE,RDQ44,M3
201,PR38D,3,-,Comp_OF_PR38C,-,RDQ44,N3
202,VCCIO3,-,-,-,-,-,-
203,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ44,L4
204,PR38C,3,-,True_OF_PR38D,-,RDQ44,N4
205,VSSIO3,-,-,-,-,-,-
206,PR38A,3,-,True_OF_PR38B,TRUE,RDQ44,K4
207,PR35D,3,-,Comp_OF_PR35C,-,RDQ32,H1
208,VCCIO3,-,-,-,-,-,-
209,PR35B,3,VREF1_3,Comp_OF_PR35A,TRUE,RDQ32,J1
210,PR35C,3,-,True_OF_PR35D,-,RDQ32,F1
211,VSSIO3,-,-,-,-,-,-
212,PR35A,3,-,True_OF_PR35B,TRUE,RDQ32,J2
213,PR32D,3,-,Comp_OF_PR32C,-,RDQ32,-
214,VSS,-,-,-,-,-,-
215,PR32B,3,-,Comp_OF_PR32A,TRUE,RDQSN32,G1
216,PR32C,3,-,True_OF_PR32D,-,RDQ32,-
217,VCC,-,-,-,-,-,-
218,PR32A,3,-,True_OF_PR32B,TRUE,RDQS32,F2
219,PR29D,3,-,Comp_OF_PR29C,-,RDQ32,H2
220,VSS,-,-,-,-,-,-
221,PR29B,3,-,Comp_OF_PR29A,TRUE,RDQ32,G3
222,PR29C,3,GR_PCLK3_1,True_OF_PR29D,-,RDQ32,J3
223,VCCAUX,-,-,-,-,-,-
224,PR29A,3,GR_PCLK3_0,True_OF_PR29B,TRUE,RDQ32,H3
225,PR26D,3,PCLKC3_0,Comp_OF_PR26C,-,RDQ32,F3
226,VCCIO3,-,-,-,-,-,-
227,PR26B,3,PCLKC3_1,Comp_OF_PR26A,TRUE,RDQ32,G4
228,PR26C,3,PCLKT3_0,True_OF_PR26D,-,RDQ32,F4
229,VSSIO3,-,-,-,-,-,-
230,PR26A,3,PCLKT3_1,True_OF_PR26B,TRUE,RDQ32,H4
231,PR23D,2,PCLKC2_0,Comp_OF_PR23C,-,RDQ20,D1
232,VCCIO2,-,-,-,-,-,-
233,PR23B,2,PCLKC2_1,Comp_OF_PR23A,TRUE,RDQ20,B1
234,PR23C,2,PCLKT2_0,True_OF_PR23D,-,RDQ20,C1
235,VSSIO2,-,-,-,-,-,-
236,PR23A,2,PCLKT2_1,True_OF_PR23B,TRUE,RDQ20,D2
237,PR20D,2,-,Comp_OF_PR20C,-,RDQ20,-
238,VSS,-,-,-,-,-,-
239,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQSN20,B2
240,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,A2
241,VCC,-,-,-,-,-,-
242,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,A3
243,PR17D,2,-,Comp_OF_PR17C,-,RDQ20,-
244,VSS,-,-,-,-,-,-
245,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQ20,C2
246,PR17C,2,-,True_OF_PR17D,-,RDQ20,-
247,VCCAUX,-,-,-,-,-,-
